"","ID1","meanMAT","dev2010MAT","dev2011MAT","dev2012MAT","dev2013MAT","dev2014MAT","dev2015MAT","dev2016MAT","dev2017MAT","avDevMAT"
"1","N1",11.004,0.296000000000001,-0.404,0.296000000000001,0.196,1.696,1.896,1.596,0.796000000000001,0.796
"2","N2",10.174,0.326000000000001,-0.373999999999999,0.226000000000001,0.126000000000001,1.626,1.926,1.426,0.626000000000001,0.738500000000001
"3","C1",11.75,0.25,-0.15,0.949999999999999,0.85,2.35,1.75,1.55,1.75,1.1625
"4","C2",11.958,0.241999999999999,-0.258000000000001,0.942,0.842000000000001,2.342,1.742,1.542,1.642,1.1295
"5","S1",12.812,-0.112,-0.212,0.588000000000001,0.488000000000001,1.988,1.688,1.288,1.788,0.938000000000001
"6","S2",16.566,-0.0659999999999989,-0.166,0.634,0.534000000000002,1.934,1.634,1.334,1.634,0.934000000000001
