"","FamID","MomID","DadID","Fam.ord","Pop","Pop.ord","Year","Group","Group.ord","Reg","Reg.ord","Temp","Temp.ord","Temp.rep","Tray.set","Tray","Rep","Cell","TagID","Planting.date","Percival","Leaf.number.going.in","Leaf.number.coming.out..green.","Leaf.number.coming.out..brown.","Notes","NAleafIn","zeroLeafIn","sampledB4leafOut","outRGR","zeros","RGR","surv","regCol","daytimeTemp"
"26","GH_0823","NFS89","NFS112",62,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"C2",823.01,"2/18/19","I-31",6,32,NA,NA,0,0,0,0,0,0.619047619047619,1,"#5E4FA2",35
"27","GH_0729","ROC159","ROC30",32,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"C3",729.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"28","GH_0677","ROC74","ROC132",27,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"C4",677.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"29","GH_0087","SS3680","SS3688",47,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"C5",87.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"30","GH_0057","SS4027","SS4011",40,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"C6",57.01,"2/18/19","I-31",4,10,NA,NA,0,0,0,0,0,0.214285714285714,1,"#5E4FA2",35
"31","GH_0748","ROC18","ROC151",35,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"C7",748.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"32","GH_0884","NFS141","NFS17",69,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"C8",884.01,"2/18/19","I-31",8,52,NA,NA,0,0,0,0,0,0.785714285714286,1,"#5E4FA2",35
"33","GH_0638","ROC61","ROC153",19,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"C9",638.01,"2/18/19","I-31",2,4,NA,NA,0,0,0,0,0,0.142857142857143,1,"#5E4FA2",35
"34","GH_0034","SS3650","SS3604",15,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"C10",34.01,"2/18/19","I-31",8,52,NA,NA,0,0,0,0,0,0.785714285714286,1,"#5E4FA2",35
"35","GH_0892","NFS99","NFS54",70,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"C11",892.01,"2/18/19","I-31",2,10,NA,NA,0,0,0,0,0,0.571428571428571,1,"#5E4FA2",35
"36","GH_0052","SS3693","SS4004",39,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"C12",52.01,"2/18/19","I-31",0,4,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"37","GH_0090","SS4014","SS3688",48,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"D1",90.01,"2/18/19","I-31",NA,NA,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"38","GH_0706","ROC127","ROC161",29,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"D2",706.01,"2/18/19","I-31",NA,NA,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"39","GH_0903","NFS135","NFS119",72,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"D3",903.01,"2/18/19","I-31",2,4,NA,NA,0,0,0,0,0,0.142857142857143,1,"#5E4FA2",35
"40","GH_0075","SS3658","SS3665",45,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"D4",75.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"41","GH_0030","SS3638","SS3646",12,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"D5",30.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"42","GH_0643","ROC116","ROC70",20,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"D6",643.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"43","GH_0074","SS4021","SS3665",44,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"D7",74.01,"2/18/19","I-31",8,40,NA,NA,0,0,0,0,0,0.571428571428571,1,"#5E4FA2",35
