"","FamID","Group","Group.ord"
"155","GH_0998","C1 2017","6"
"156","GH_1013","C1 2017","6"
"157","GH_1019","C1 2017","6"
"158","GH_1035","C1 2017","6"
"159","GH_1042","C1 2017","6"
"160","GH_1049","C1 2017","6"
"161","GH_1053","C1 2017","6"
"162","GH_1070","C1 2017","6"
"163","GH_1076","C2 2017","8"
"164","GH_1078","C2 2017","8"
"165","GH_1080","C2 2017","8"
"166","GH_1082","C2 2017","8"
"167","GH_1089","C2 2017","8"
"168","GH_1093","C2 2017","8"
"169","GH_1095","C2 2017","8"
"170","GH_1100","C2 2017","8"
"171","GH_1101","C2 2017","8"
"172","GH_1102","C2 2017","8"
"173","GH_1107","C2 2017","8"
"174","GH_1108","C2 2017","8"
"175","GH_1112","C2 2017","8"
"176","GH_1119","C2 2017","8"
"177","GH_1120","C2 2017","8"
"178","GH_1122","C2 2017","8"
"179","GH_1124","C2 2017","8"
"180","GH_1125","C2 2017","8"
"181","GH_1127","S1 2017","10"
"182","GH_1135","S1 2017","10"
"183","GH_1138","S1 2017","10"
"184","GH_1154","S1 2017","10"
"185","GH_1156","S1 2017","10"
"186","GH_1161","S1 2017","10"
"187","GH_1170","S1 2017","10"
"188","GH_1185","S1 2017","10"
"189","GH_1194","S1 2017","10"
"190","GH_1199","S1 2017","10"
"191","GH_1207","S1 2017","10"
"192","GH_1213","S1 2017","10"
"193","GH_1219","S1 2017","10"
"194","GH_1221","S1 2017","10"
"195","GH_1234","S1 2017","10"
"196","GH_1243","S1 2017","10"
"197","GH_1248","S1 2017","10"
"198","GH_1252","S1 2017","10"
"199","GH_1258","S2 2017","12"
"200","GH_1264","S2 2017","12"
"201","GH_1267","S2 2017","12"
"202","GH_1273","S2 2017","12"
"203","GH_1280","S2 2017","12"
"204","GH_1285","S2 2017","12"
"205","GH_1290","S2 2017","12"
"206","GH_1291","S2 2017","12"
"207","GH_1297","S2 2017","12"
"208","GH_1304","S2 2017","12"
"209","GH_1307","S2 2017","12"
"210","GH_1314","S2 2017","12"
"211","GH_1320","S2 2017","12"
"212","GH_1324","S2 2017","12"
"213","GH_1326","S2 2017","12"
"214","GH_1333","S2 2017","12"
"215","GH_1337","S2 2017","12"
"216","GH_1344","S2 2017","12"
