"","FamID","daytimeTemp","RGR","Fam.ord","Group.ord"
"119","GH_0035",35,0.535714285714285,"16",1
"120","GH_0035",40,0.222634508348794,"16",1
"121","GH_0035",45,0,"16",1
"122","GH_0039",10,0,"17",1
"123","GH_0039",15,0.0669642857142857,"17",1
"124","GH_0039",20,0.428571428571429,"17",1
"125","GH_0039",25,0.322510822510823,"17",1
"126","GH_0039",30,0.242857142857143,"17",1
"127","GH_0039",35,0.642857142857143,"17",1
"128","GH_0039",40,0.142857142857143,"17",1
"129","GH_0039",45,0.012987012987013,"17",1
"130","GH_0040",10,0,"18",1
"131","GH_0040",15,0.142857142857143,"18",1
"132","GH_0040",20,0.247023809523809,"18",1
"133","GH_0040",25,0.297619047619048,"18",1
"134","GH_0040",30,0.317460317460318,"18",1
"135","GH_0040",35,0.375,"18",1
"136","GH_0040",40,0.380952380952381,"18",1
"137","GH_0040",45,0.0314625850340136,"18",1
"138","GH_0043",10,0,"19",2
"139","GH_0043",15,0,"19",2
"140","GH_0043",20,0.24047619047619,"19",2
"141","GH_0043",25,0.352040816326531,"19",2
"142","GH_0043",30,0.321428571428572,"19",2
"143","GH_0043",35,0.357142857142857,"19",2
"144","GH_0043",40,0.261904761904762,"19",2
"145","GH_0043",45,0.0595238095238097,"19",2
"146","GH_0046",10,0.00510204081632653,"20",2
"147","GH_0046",15,0.0612244897959184,"20",2
"148","GH_0046",20,0.232142857142857,"20",2
"149","GH_0046",25,0.317460317460318,"20",2
"150","GH_0046",30,0.258928571428572,"20",2
"151","GH_0046",35,0.571428571428571,"20",2
"152","GH_0046",40,0.285714285714286,"20",2
"153","GH_0046",45,0.0317460317460317,"20",2
"154","GH_0052",10,0,"21",2
"155","GH_0052",15,0.0204081632653061,"21",2
"156","GH_0052",20,0.26031746031746,"21",2
"157","GH_0052",25,0.257369614512472,"21",2
"158","GH_0052",30,0.369047619047619,"21",2
"159","GH_0052",35,0.142857142857143,"21",2
"160","GH_0052",40,0.357142857142857,"21",2
"161","GH_0052",45,0.0238095238095238,"21",2
"162","GH_0057",10,0,"22",2
"163","GH_0057",15,0.0204081632653061,"22",2
"164","GH_0057",20,0.223214285714286,"22",2
"165","GH_0057",25,0.365079365079365,"22",2
"166","GH_0057",30,0.41599025974026,"22",2
"167","GH_0057",35,0.511904761904762,"22",2
"168","GH_0057",40,0.331632653061224,"22",2
"169","GH_0057",45,0.0178571428571428,"22",2
"170","GH_0062",10,0,"23",2
"171","GH_0062",15,0.0741071428571428,"23",2
"172","GH_0062",20,0.261904761904762,"23",2
"173","GH_0062",25,0.235119047619048,"23",2
"174","GH_0062",30,0.505952380952381,"23",2
"175","GH_0062",35,0.466450216450216,"23",2
"176","GH_0062",40,0.353896103896104,"23",2
"177","GH_0062",45,0.0303030303030303,"23",2
"178","GH_0066",10,0,"24",2
"179","GH_0066",15,0.074404761904762,"24",2
"180","GH_0066",20,0.355357142857143,"24",2
"181","GH_0066",25,0.376352813852814,"24",2
"182","GH_0066",30,0.392857142857142,"24",2
"183","GH_0066",35,0.404761904761905,"24",2
"184","GH_0066",40,0.346938775510204,"24",2
"185","GH_0066",45,0.0488095238095238,"24",2
"186","GH_0068",10,0.0436507936507937,"25",2
"187","GH_0068",15,0.0476190476190476,"25",2
"188","GH_0068",20,0.19047619047619,"25",2
"189","GH_0068",25,0.255555555555555,"25",2
"190","GH_0068",30,0.452380952380952,"25",2
"191","GH_0068",35,0.285714285714286,"25",2
"192","GH_0068",40,0.142857142857143,"25",2
"193","GH_0068",45,0.142857142857143,"25",2
"194","GH_0074",10,0,"26",2
"195","GH_0074",15,0.151785714285714,"26",2
"196","GH_0074",20,0.219047619047619,"26",2
"197","GH_0074",25,0.279761904761905,"26",2
"198","GH_0074",30,0.398809523809524,"26",2
"199","GH_0074",35,0.361904761904762,"26",2
"200","GH_0074",40,0.514030612244898,"26",2
"201","GH_0074",45,0.0833333333333335,"26",2
"202","GH_0075",10,0,"27",2
"203","GH_0075",15,0.123214285714286,"27",2
"204","GH_0075",20,0.195767195767196,"27",2
"205","GH_0075",25,0.33609693877551,"27",2
"206","GH_0075",30,0.428571428571428,"27",2
"207","GH_0075",35,0.238095238095238,"27",2
"208","GH_0075",40,0.488961038961039,"27",2
"209","GH_0075",45,0.0595238095238095,"27",2
"210","GH_0083",10,0,"28",2
"211","GH_0083",15,0.090909090909091,"28",2
"212","GH_0083",20,0.2,"28",2
"213","GH_0083",25,0.384920634920635,"28",2
"214","GH_0083",30,0.214285714285714,"28",2
"215","GH_0083",35,0.357142857142857,"28",2
"216","GH_0083",40,0.178571428571429,"28",2
"217","GH_0083",45,0,"28",2
"218","GH_0087",10,0,"29",2
"219","GH_0087",15,0.142857142857143,"29",2
"220","GH_0087",20,0.232142857142857,"29",2
"221","GH_0087",25,0.329365079365079,"29",2
"222","GH_0087",30,0.417439703153989,"29",2
"223","GH_0087",35,0.252747252747253,"29",2
"224","GH_0087",40,0.4,"29",2
"225","GH_0087",45,0.0158730158730159,"29",2
"226","GH_0090",10,0.016156462585034,"30",2
"227","GH_0090",15,0.0997023809523809,"30",2
"228","GH_0090",20,0.25,"30",2
"229","GH_0090",25,0.280830280830281,"30",2
"230","GH_0090",30,0.325396825396825,"30",2
"231","GH_0090",35,0.428571428571428,"30",2
"232","GH_0090",40,0.27994227994228,"30",2
"233","GH_0090",45,0.0119047619047619,"30",2
"234","GH_0094",10,0,"31",2
"235","GH_0094",15,0.113095238095238,"31",2
"236","GH_0094",20,0.182539682539682,"31",2
"237","GH_0094",25,0.312925170068027,"31",2
"238","GH_0094",30,0.420634920634921,"31",2
"239","GH_0094",35,0.25,"31",2
"240","GH_0094",40,0.196428571428572,"31",2
"241","GH_0094",45,0,"31",2
"242","GH_0098",10,0.00714285714285715,"32",2
"243","GH_0098",15,0.127976190476191,"32",2
"244","GH_0098",20,0.248412698412698,"32",2
"245","GH_0098",25,0.336309523809524,"32",2
"246","GH_0098",30,0.269345238095238,"32",2
"247","GH_0098",35,0.0714285714285714,"32",2
"248","GH_0098",40,0.372448979591837,"32",2
"249","GH_0098",45,0.0517857142857142,"32",2
"250","GH_0102",10,0,"33",2
"251","GH_0102",15,0.101190476190476,"33",2
"252","GH_0102",20,0.242857142857143,"33",2
"253","GH_0102",25,0.276479076479076,"33",2
"254","GH_0102",30,0.415816326530612,"33",2
"255","GH_0102",35,0.397883597883598,"33",2
"256","GH_0102",40,0.308333333333333,"33",2
"257","GH_0102",45,0.0446428571428572,"33",2
"258","GH_0103",10,0.00714285714285715,"34",2
"259","GH_0103",15,0.0863095238095239,"34",2
"260","GH_0103",20,0.296428571428571,"34",2
"261","GH_0103",25,0.301058201058201,"34",2
"262","GH_0103",30,0.429166666666667,"34",2
"263","GH_0103",35,0.79047619047619,"34",2
"264","GH_0103",40,0.3718820861678,"34",2
"265","GH_0103",45,0.018939393939394,"34",2
"266","GH_0108",10,0.0357142857142857,"35",2
"267","GH_0108",15,0,"35",2
"268","GH_0108",20,0.226190476190476,"35",2
"269","GH_0108",25,0.301587301587302,"35",2
"270","GH_0108",30,0.385714285714286,"35",2
"271","GH_0108",35,0.178571428571429,"35",2
"272","GH_0108",40,0.335600907029478,"35",2
"273","GH_0108",45,0.0384615384615384,"35",2
"274","GH_0114",10,0.0110544217687075,"36",2
"275","GH_0114",15,0.0816326530612246,"36",2
"276","GH_0114",20,0.275,"36",2
"277","GH_0114",25,0.36577380952381,"36",2
"278","GH_0114",30,0.462527056277056,"36",2
"279","GH_0114",35,0.258125472411187,"36",2
"280","GH_0114",40,0.423809523809524,"36",2
