"","ID1","meanJMT","dev2010","dev2011","dev2012","dev2013","dev2014","dev2015","dev2016","dev2017","avDevJMT"
"1","N1",28.438,0.0620000000000012,-1.938,-0.937999999999999,1.862,2.262,2.362,-0.337999999999997,1.562,0.612000000000001
"2","N2",26.898,0.102,-1.798,-0.797999999999998,1.602,2.002,2.202,-0.198,0.902000000000001,0.502000000000001
"3","C1",30.05,0.25,-0.650000000000002,-0.0500000000000007,1.55,1.55,0.349999999999998,0.649999999999999,1.65,0.662499999999999
"4","C2",30.602,0.198,-0.802,-0.102,1.498,1.398,0.398,0.597999999999999,1.698,0.6105
"5","S1",30.106,-0.906000000000002,-0.706000000000003,-1.406,-0.00600000000000023,1.094,0.193999999999999,0.393999999999998,0.494,-0.106000000000002
"6","S2",33.668,-0.967999999999996,-0.667999999999999,-1.368,-0.0679999999999978,1.032,0.231999999999999,0.432000000000002,0.332000000000001,-0.130499999999999
