"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","beta_0","beta_1","maxima","breadth","area","special","idx","max_RGR","maximaBT","x_minBT","x_maxBT","breadthBT","opt_breadth_low","opt_breadth_high","opt_breadth","B50_low","B50_high","B50","opt_breadth_low1","opt_breadth_high1","opt_breadth1","B80_low","B80_high","B80","Pop","year"
"1","1",-18.586838775,10000.5,18.660790735,2.5804395265,2.476556247,0.88956190725,5.915791196,5.020468032,2.2523290243005,4.62093552213222,37.24762951,33.1026642317961,0.88956190725,10000.5,0.423977718832536,32.1427759414683,8.93500164433605,46.1826311543361,37.24762951,-7.29106148560606,14.0954466056566,21.3865080912626,20.23077893373,41.6172870249926,21.3865080912626,-2.17599947212121,10.7905259177778,12.966525389899,25.3458409472148,38.3123663371138,12.966525389899,"N1","2010"
"2","2",-18.52405475,10000.5,18.22893749,2.4688867215,2.1134934615,0.9162469025,6.8992792445,5.040850498,2.2619872086223,5.45177209836552,36.75299224,33.6555998203494,0.9162469025,30000.5,0.418536115097671,32.9736125177016,8.99778566933605,45.7507779093361,36.75299224,-7.24909778868687,14.9325854860606,22.1816832747475,20.2727426306492,42.4544259053967,22.1816832747475,-1.78567755020202,11.7697753136869,13.5554528638889,25.736162869134,39.2916157330229,13.5554528638889,"N2","2010"
"3","3",-18.72855173,10000.5,18.44023935,2.313683658,2.113743537,1.162603099,9.2799125815,4.994902294,2.26369016596474,4.526401940598,37.16879108,43.1998135734772,1.162603099,50000.5,0.51239119335375,32.0482423599341,8.79328868933605,45.9620797693361,37.16879108,-8.63464446893939,14.7727062522222,23.4073507211616,18.8871959503967,42.2945466715583,23.4073507211616,-3.08268021626263,11.3172887771212,14.3999689933838,24.4391602030734,38.8391291964573,14.3999689933838,"C1","2010"
"4","4",-18.98210507,10000.5,18.20198473,2.466717475,2.110167307,1.12777552265,7.6685577665,5.0192406785,2.26507226428435,5.28338169248565,37.1840898,41.9182905822135,1.12777552265,70000.5,0.514825876987724,32.8052221118217,8.53973534933605,45.7238251493361,37.1840898,-7.58164483838384,14.8788941481313,22.4605389865152,19.9401955809522,42.4007345674674,22.4605389865152,-2.04522731419192,11.681305819596,13.7265331337879,25.4766131051441,39.203146238932,13.7265331337879,"C2","2010"
"5","5",-19.21699419,10000.5,19.20988528,2.410414003,2.090115448,1.1170055011,9.2187896705,4.9813016975,2.285373051525,5.62318432841276,38.42687947,42.91007894372,1.1170055011,90000.5,0.502862369079066,33.1450247477488,8.30484622933605,46.7317256993361,38.42687947,-7.84808732126263,15.7507125957576,23.5987999170202,19.6737530980734,43.2725530150936,23.5987999170202,-2.08436130808081,12.3737518663636,14.4581131744444,25.4374791112552,39.8955922856997,14.4581131744444,"S1","2010"
"6","6",-19.23698203,10000.5,18.72511391,2.486474553,2.047749749,1.149905886,7.330515334,4.9712563398,2.26985355779915,6.01669633623232,37.96209594,43.6370045683561,1.149905886,110000.5,0.526110404754286,33.5385367555684,8.28485838933605,46.246954329336,37.96209594,-7.22559768343434,15.6480130264141,22.8736107098485,20.2962427359017,43.1698534457502,22.8736107098485,-1.49645274560606,12.4806739526263,13.9771266982323,26.02538767373,40.0025143719623,13.9771266982323,"S2","2010"
"7","7",-18.83004323,10000.5,18.635900835,2.557293567,2.263333544,0.90611359425,6.068601715,5.012347559,2.25804976541615,5.35402128544337,37.465944065,33.9223035192858,0.90611359425,130000.5,0.425105890593234,32.8758617047794,8.69179718933605,46.1577412543361,37.465944065,-7.08571368530303,14.8285862869192,21.9142999722222,20.436126734033,42.3504267062552,21.9142999722222,-1.71494208979798,11.6073778577778,13.3223199475758,25.8068983295381,39.1292182771138,13.3223199475758,"N1","2017"
"8","8",-17.95155914,10000.5,18.85563683,2.525220226,2.3550910445,0.9763787508,7.6383357105,5.049314261,2.25853902755375,5.18653734661429,36.80719597,35.9047704006212,0.9763787508,150000.5,0.456949430178828,32.7083777659503,9.57028127933605,46.3774772493361,36.80719597,-6.90386801308081,14.6776045693434,21.5814725824242,20.6179724062552,42.1994449886795,21.5814725824242,-1.71988830474747,11.401351740202,13.1212400449495,25.8019521145886,38.9231921595381,13.1212400449495,"N2","2017"
"9","9",-18.658077535,10000.5,18.712402085,2.410597887,2.168762549,1.1145789743,8.0370590235,4.9968369125,2.2551534726549,5.05921959871072,37.37047962,41.633267394569,1.1145789743,170000.5,0.503736641312137,32.5810600180468,8.86376288433605,46.2342425043361,37.37047962,-7.84487275858586,14.9949874261111,22.839860184697,19.6769676607502,42.5168278454472,22.839860184697,-2.3440931819697,11.6331846144949,13.9772777964646,25.1777472373664,39.155025033831,13.9772777964646,"C1","2017"
"10","10",-19.015133945,10000.5,18.457641355,2.467258695,2.1735867725,1.1591430635,8.558947737,4.9885250735,2.27202617856255,5.09615199859749,37.4727753,43.4174177815489,1.1591430635,190000.5,0.53074221908264,32.6179924179335,8.50670647433605,45.9794817743361,37.4727753,-7.71925482484848,14.8330340686869,22.5522888935354,19.8025855944876,42.3548744880229,22.5522888935354,-2.21966996459596,11.5510132539899,13.7706832185859,25.3021704547401,39.072853673326,13.7706832185859,"C2","2017"
"11","11",-19.3702343,10000.5,18.68182119,2.5820884205,2.0915681595,1.1883003295,7.7699406445,4.9675113125,2.26893412775416,6.23617781925218,38.05205549,45.1996565794529,1.1883003295,210000.5,0.556903167347615,33.7580182385882,8.15160611933605,46.2036616093361,38.05205549,-6.70896143080808,15.5800018006566,22.2889632314646,20.812878988528,43.1018422199926,22.2889632314646,-1.05989888722222,12.4984428138384,13.5583417010606,26.4619415321138,40.0202832331744,13.5583417010606,"S1","2017"
"12","12",-18.62907228,10000.5,18.55304509,2.4520727105,2.082623401,1.2061778045,8.1540526695,4.9760033435,2.27027274697905,5.70389951582002,37.18211737,44.8328272510157,1.2061778045,230000.5,0.548120933036942,33.2257399351561,8.89276813933605,46.074885509336,37.18211737,-7.25830448964646,15.3234958780808,22.5818003677273,20.2635359296896,42.8453362974169,22.5818003677273,-1.68075093050505,12.1293254340404,13.8100763645455,25.841089488831,39.6511658533765,13.8100763645455,"S2","2017"
