"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B80_lci","B80_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","stretch_lci","stretch_uci","area_lci","area_uci"
"1","1",31.1526812257397,32.8991690788626,20.3284401010101,23.1134461363636,12.1490878787879,14.2281749494949,35.3356475,39.72433,7.20394041933605,10.7699504193361,45.6095379193361,47.6312504193361,0.373036998038806,0.453335210872801,0.792124,0.945611525,30.1862216774625,35.05374040428
"2","2",32.2093314603207,33.6073980845476,21.258663030303,23.0990481060606,12.8319754292929,14.2626693181818,35.1274275,38.1170075,7.80090541933605,10.5992454193361,45.4635404193361,46.3266454193361,0.388304074753872,0.451784678882693,0.855068775,0.987125325,31.664095436325,35.784072009615
"3","3",31.1091942895105,32.2818173763934,23.0478287121212,24.5760716666667,14.0805518181818,15.3252698989899,36.2712,37.80001,8.53533041933605,9.69684041933605,45.7826379193361,46.639850419336,0.4684716359959,0.523815259205941,1.09103,1.207011,40.448258092975,44.350604656575
"4","4",31.9311567361592,33.1198074170835,21.9424766161616,23.4916217424242,13.2818919191919,14.5311685606061,36.1164875,38.0071175,7.94610291933605,9.58024541933605,45.5354404193361,46.236952919336,0.479760584475144,0.541958879869338,1.0728795,1.197561,39.8650772099,44.046585312875
"5","5",32.2723919618516,33.3877731873296,23.2861137878788,24.8018333333333,14.1752627272727,15.3743494949495,37.5023,39.433105,7.81912791933605,9.27244541933605,46.4836379193361,47.6836429193361,0.464995615130059,0.51841391693071,1.05483,1.16652025,40.73694346855,44.39623872615
"6","6",32.4924113927459,33.6429971891452,22.566473459596,24.0994593181818,13.7346136363636,14.9393161616162,36.62789,38.478905,7.96592541933605,9.70804041933605,46.049737919336,46.867840419336,0.484166046663084,0.55352610732516,1.09291875,1.23642025,41.24328675075,46.0109860155
"7","7",31.6277231947246,33.3252338941479,21.3857177272727,23.6455371717172,12.873127020202,14.6339434090909,35.586495,39.1030125,7.62333041933605,10.511497919336,45.7186379193361,47.3003504193361,0.37771622883339,0.447530556666228,0.829122925,0.978449175,31.3118496992425,35.971947864135
"8","8",31.7050157644306,33.2607031626065,20.6458394191919,22.7724007070707,12.3893615151515,14.0991539393939,34.199695,38.8201425,8.44994041933605,12.0444629193361,45.8754404193361,47.834842919336,0.415563003330515,0.482915223484728,0.893009575,1.05128075,33.3545357796375,37.3698464632
"9","9",31.6486837040384,32.9982326071849,22.4835434090909,24.2399450252525,13.6503120454545,15.0415642929293,36.14989,38.465115,8.28273291933605,10.099987919336,45.9416379193361,47.161842919336,0.451488209101691,0.514218199685501,1.02641975,1.15886025,38.50932948825,42.785148817425
"10","10",31.7387701635485,32.9914334509921,22.2111731313131,23.8544872727273,13.4593269949495,14.7904262626263,36.3762975,38.3953125,7.92663541933605,9.54125541933605,45.7055379193361,46.6513629193361,0.47989122316263,0.541158722951088,1.07867,1.2057905,40.4141328212,44.5569293565
"11","11",32.7886088534127,34.0171334022469,21.9879898737374,23.6145506060606,13.2746969191919,14.5463253787879,37.069665,39.4393125,7.22493791933605,9.24356291933605,46.0130404193361,47.107560419336,0.499135857929926,0.569472363892094,1.08729775,1.2309105,41.82153761645,46.516304495475
"12","12",32.3094134598418,33.420178502278,22.2815045454545,23.6597074747475,13.5461036363636,14.6839676767677,35.838275,37.6504025,8.63973541933605,10.2963429193361,45.884137919336,46.647955419336,0.506535118094013,0.569760502338315,1.14635,1.27948075,42.4041984363,46.705936818775
