"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1142]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1143]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1144]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1145]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1146]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1147]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1148]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1149]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1150]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1151]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1152]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1153]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1154]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1155]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1156]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1157]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1158]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1159]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1160]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1161]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1162]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1163]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1164]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1165]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1166]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1167]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1168]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1169]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1170]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1171]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1172]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1173]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1174]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1175]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1176]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1177]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1178]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1179]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1180]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1181]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1182]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1183]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1184]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1185]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1186]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1187]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1188]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1189]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1190]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1191]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1192]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1193]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1194]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1195]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1196]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1197]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1198]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1199]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1200]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1201]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1202]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1203]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1204]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1205]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1206]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1207]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1208]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1209]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1210]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1211]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1212]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1213]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1214]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1215]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1216]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1217]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1218]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1219]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1220]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1221]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1222]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1223]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1224]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1225]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1226]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1227]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1228]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1229]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1230]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1231]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1232]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1233]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1234]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1235]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1236]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1237]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1238]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1239]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1240]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1241]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1242]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1243]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1244]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1245]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1246]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1247]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1248]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1249]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1250]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1251]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1252]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1253]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1254]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1255]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1256]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1257]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1258]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1259]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1260]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1261]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1262]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1263]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1264]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1265]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1266]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1267]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1268]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1269]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1270]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1271]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1272]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1273]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1274]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1275]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1276]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1277]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1278]",0.04,0,0.02,0,0.02,0.04,0.06,0.09,12121.09,1
"mu[1279]",0.45,0,0.03,0.39,0.43,0.45,0.47,0.51,21312.98,1
"mu[1280]",0.99,0,0.04,0.92,0.96,0.99,1.01,1.06,16907.04,1
"mu[1281]",1.51,0,0.04,1.43,1.48,1.51,1.54,1.59,23512.66,1
"mu[1282]",1.85,0,0.05,1.76,1.82,1.85,1.88,1.95,28363.64,1
"mu[1283]",1.85,0,0.05,1.75,1.82,1.85,1.88,1.95,27063.09,1
"mu[1284]",1.35,0,0.05,1.25,1.31,1.35,1.38,1.45,22137.59,1
"mu[1285]",0.28,0,0.04,0.21,0.25,0.28,0.3,0.35,20700.35,1
"mu[1286]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1287]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1288]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1289]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1290]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1291]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1292]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1293]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1294]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1295]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1296]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1297]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1298]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1299]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1300]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1301]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1302]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1303]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1304]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1305]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1306]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1307]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1308]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1309]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1310]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1311]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1312]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1313]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1314]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1315]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1316]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1317]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1318]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1319]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1320]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1321]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1322]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1323]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1324]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1325]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1326]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1327]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1328]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1329]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1330]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1331]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1332]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1333]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1334]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1335]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1336]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1337]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1338]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1339]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1340]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1341]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1342]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1343]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1344]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1345]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1346]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1347]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1348]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1349]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1350]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1351]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1352]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1353]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1354]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1355]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1356]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1357]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1358]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1359]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1360]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1361]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1362]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1363]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1364]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1365]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1366]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1367]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1368]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1369]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1370]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1371]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1372]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1373]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1374]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1375]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1376]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1377]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1378]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1379]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1380]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1381]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1382]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1383]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1384]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1385]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1386]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1387]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1388]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1389]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1390]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1391]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1392]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1393]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1394]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1395]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1396]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1397]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1398]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1399]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1400]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1401]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1402]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1403]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1404]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1405]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1406]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1407]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1408]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1409]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1410]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1411]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1412]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1413]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1414]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1415]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1416]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1417]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1418]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1419]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1420]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1421]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1422]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.1,12222.07,1
"mu[1423]",0.47,0,0.03,0.41,0.45,0.47,0.49,0.52,20098.44,1
"mu[1424]",1.03,0,0.04,0.96,1,1.03,1.05,1.1,15529.49,1
"mu[1425]",1.58,0,0.04,1.5,1.55,1.58,1.6,1.66,22878.57,1
"mu[1426]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.04,26590.63,1
"mu[1427]",1.95,0,0.05,1.86,1.92,1.95,1.98,2.05,27330.67,1
"mu[1428]",1.4,0,0.05,1.3,1.37,1.4,1.44,1.5,23610.17,1
"mu[1429]",0.23,0,0.03,0.17,0.21,0.23,0.25,0.3,20490.5,1
"mu[1430]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.09,12593.76,1
"mu[1431]",0.42,0,0.03,0.36,0.4,0.42,0.44,0.47,23981.11,1
"mu[1432]",0.96,0,0.04,0.89,0.93,0.96,0.98,1.03,18443.95,1
"mu[1433]",1.53,0,0.04,1.45,1.51,1.53,1.56,1.62,19880.27,1
"mu[1434]",1.98,0,0.05,1.89,1.95,1.98,2.01,2.08,29412.92,1
"mu[1435]",2.09,0,0.06,1.98,2.05,2.09,2.13,2.2,30266.53,1
"mu[1436]",1.63,0,0.06,1.52,1.59,1.63,1.67,1.74,26416.81,1
"mu[1437]",0.38,0,0.04,0.3,0.35,0.38,0.41,0.47,20351.26,1
"mu[1438]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.09,12593.76,1
"mu[1439]",0.42,0,0.03,0.36,0.4,0.42,0.44,0.47,23981.11,1
"mu[1440]",0.96,0,0.04,0.89,0.93,0.96,0.98,1.03,18443.95,1
"mu[1441]",1.53,0,0.04,1.45,1.51,1.53,1.56,1.62,19880.27,1
"mu[1442]",1.98,0,0.05,1.89,1.95,1.98,2.01,2.08,29412.92,1
"mu[1443]",2.09,0,0.06,1.98,2.05,2.09,2.13,2.2,30266.53,1
"mu[1444]",1.63,0,0.06,1.52,1.59,1.63,1.67,1.74,26416.81,1
"mu[1445]",0.38,0,0.04,0.3,0.35,0.38,0.41,0.47,20351.26,1
"mu[1446]",0.05,0,0.02,0.01,0.04,0.05,0.07,0.09,12593.76,1
"mu[1447]",0.42,0,0.03,0.36,0.4,0.42,0.44,0.47,23981.11,1
"mu[1448]",0.96,0,0.04,0.89,0.93,0.96,0.98,1.03,18443.95,1
"mu[1449]",1.53,0,0.04,1.45,1.51,1.53,1.56,1.62,19880.27,1
"mu[1450]",1.98,0,0.05,1.89,1.95,1.98,2.01,2.08,29412.92,1
"mu[1451]",2.09,0,0.06,1.98,2.05,2.09,2.13,2.2,30266.53,1
"mu[1452]",1.63,0,0.06,1.52,1.59,1.63,1.67,1.74,26416.81,1
