FamID,MomID,DadID,Fam ord,Pop,Pop ord,Year,Group,Group ord,Reg,Reg ord,Temp,Temp ord,Temp rep,Tray set,Tray,Rep,Cell,TagID,Planting date,Percival,Leaf number going in,Leaf number coming out (green),Leaf number coming out (brown),Notes
GH_0075,SS3658,SS3665,45,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,D4,75.01,2/18/19,I-31,0,2,,
GH_0030,SS3638,SS3646,12,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,D5,30.01,2/18/19,I-31,NA,0,,
GH_0643,ROC116,ROC70,20,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,D6,643.01,2/18/19,I-31,NA,0,,
GH_0074,SS4021,SS3665,44,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,D7,74.01,2/18/19,I-31,8,40,,
GH_0018,SS3630,SS3652,6,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,D8,18.01,2/18/19,I-31,NA,0,,
GH_0653,ROC123,ROC105,22,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,D9,653.01,2/18/19,I-31,4,24,,
GH_0849,NFS124,NFS1,65,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,D10,849.01,2/18/19,I-31,4,8,,
GH_0785,NFS35,NFS91,57,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,D11,785.01,2/18/19,I-31,NA,0,,
GH_0759,ROC69,ROC41,36,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,D12,759.01,2/18/19,I-31,4,16,,
GH_0810,NFS30,NFS52,59,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,E1,810.01,2/18/19,I-31,0,2,,
GH_0094,SS3694,SS3662,49,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,E2,94.01,2/18/19,I-31,0,2,,
GH_0868,NFS104,NFS123,68,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,E3,868.01,2/18/19,I-31,4,8,,
GH_0108,SS4044a,SS4024,53,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,E4,108.01,2/18/19,I-31,NA,NA,,
GH_0742,ROC97,ROC138,34,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,E5,742.01,2/18/19,I-31,6,36,,
GH_0663,ROC134,ROC3,24,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,E6,663.01,2/18/19,I-31,0,4,,
GH_0812,NFS34,NFS49,60,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,E7,812.01,2/18/19,I-31,8,50,,
GH_0102,SS4000,SS4048,51,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,E8,102.01,2/18/19,I-31,4,12,,
GH_0669,ROC57,ROC133,25,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,E9,669.01,2/18/19,I-31,0,2,,
GH_0672,ROC55,ROC14,26,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,E10,672.01,2/18/19,I-31,0,4,,
GH_0020,SS3633,SS3652,7,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,E11,20.01,2/18/19,I-31,NA,0,,
GH_0032,SS3649,SS3604,14,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,E12,32.01,2/18/19,I-31,4,16,,
GH_0761,NFS122,NFS45,55,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,F1,761.01,2/18/19,I-31,2,6,,
GH_0007,SS3612,SS3610,3,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,F2,7.01,2/18/19,I-31,0,0,,
GH_0748,ROC4,ROC111,31,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,F3,722.01,2/18/19,I-31,NA,0,,
GH_0029,SS3611,SS3646,11,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,F4,29.01,2/18/19,I-31,NA,0,,
GH_0098,SS4031,SS3683,50,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,F5,98.01,2/18/19,I-31,0,2,,
GH_0799,NFS167,NFS162,58,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,F6,799.01,2/18/19,I-31,4,12,,
GH_0820,NFS31,NFS84,61,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,F7,820.01,2/18/19,I-31,0,2,,
GH_0715,ROC85,ROC94,30,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,F8,715.01,2/18/19,I-31,0,2,,
GH_0062,SS4047,SS3674,41,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,F9,62.01,2/18/19,I-31,8,40,,
GH_0840,NFS78,NFS125,64,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,F10,840.01,2/18/19,I-31,4,24,,
GH_0010,SS3643,SS3610,5,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,F11,10.01,2/18/19,I-31,NA,0,,
GH_0002,SS3651,SS3615,1,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,F12,2.01,2/18/19,I-31,8,36,,
GH_0066,SS3673,SS3660,42,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,A1,66.02,2/18/19,I-31,4,12,,Top-Watered
GH_0002,SS3651,SS3615,1,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,A2,2.02,2/18/19,I-31,6,34,,
GH_0638,ROC61,ROC153,19,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,A3,638.02,2/18/19,I-31,NA,NA,,
GH_0683,ROC16,ROC129,28,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,A4,683.02,2/18/19,I-31,6,40,,
GH_0812,NFS34,NFS49,60,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,A5,812.02,2/18/19,I-31,8,39,1,
GH_0759,ROC69,ROC41,36,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,A6,759.02,2/18/19,I-31,4,28,,
GH_0742,ROC97,ROC138,34,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,A7,742.02,2/18/19,I-31,6,18,,Triple Leafs
GH_0785,NFS35,NFS91,57,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,A8,785.02,2/18/19,I-31,0,NA,,
