Point,Lat,Lon
Baj1,30.5499,-115.2799
Baj2,30.57,-115.34
Baj3,30.58,-115.25
Baj4,30.5899,-115.2599
Baj5,30.9667,-115.417
Baj6,31.0981,-115.622
Baj7,31.299,-115.2899
Baj8,31.38,-116.39
Baj9,31.499,-115.2799
Baj10,31.55,-115.99
Baj11,31.553,-115.3719
Baj12,31.5599,-116.1199
Baj13,31.599,-115.2999
Baj14,31.633333,-116.433333
ACF,43.6485,-123.0836
CTC,32.60863,-116.69969
CIS,28.169,-115.219
AZ,32.44775,-110.767972
