,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.979,0.527,0.891,1.583**,1.69**,0.817,0.611,0.843,0.76,1.708**,1.339**
2,-0.979,0,-0.452,-0.088,0.604,0.711,-0.162,-0.368,-0.137,-0.219,0.729,0.36
3,-0.527,0.452,0,0.364,1.056**,1.163**,0.29,0.084,0.316,0.234,1.181**,0.812*
4,-0.891,0.088,-0.364,0,0.692,0.799*,-0.074,-0.28,-0.048,-0.13,0.817*,0.448
5,-1.583**,-0.604,-1.056**,-0.692,0,0.107,-0.766,-0.972*,-0.741,-0.823*,0.125,-0.244
6,-1.69**,-0.711,-1.163**,-0.799*,-0.107,0,-0.873,-1.079**,-0.847*,-0.93**,0.018,-0.351
7,-0.817,0.162,-0.29,0.074,0.766,0.873,0,-0.206,0.026,-0.056,0.891,0.522
8,-0.611,0.368,-0.084,0.28,0.972*,1.079**,0.206,0,0.232,0.15,1.097**,0.728
9,-0.843,0.137,-0.316,0.048,0.741,0.847*,-0.026,-0.232,0,-0.082,0.865*,0.496
10,-0.76,0.219,-0.234,0.13,0.823*,0.93**,0.056,-0.15,0.082,0,0.947**,0.578
11,-1.708**,-0.729,-1.181**,-0.817*,-0.125,-0.018,-0.891,-1.097**,-0.865*,-0.947**,0,-0.369
12,-1.339**,-0.36,-0.812*,-0.448,0.244,0.351,-0.522,-0.728,-0.496,-0.578,0.369,0
