,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.433,1.595**,0.806,1.634**,1.177,0.641,0.084,1.234,1.013,0.763,0.98
2,-0.433,0,1.162**,0.373,1.201**,0.744,0.208,-0.349,0.801,0.58,0.33,0.547
3,-1.595**,-1.162**,0,-0.789,0.039,-0.418,-0.954,-1.511**,-0.361,-0.582,-0.832,-0.615
4,-0.806,-0.373,0.789,0,0.828,0.371,-0.165,-0.722,0.428,0.207,-0.043,0.174
5,-1.634**,-1.201**,-0.039,-0.828,0,-0.457,-0.992,-1.55**,-0.4,-0.621,-0.871,-0.654
6,-1.177,-0.744,0.418,-0.371,0.457,0,-0.536,-1.093*,0.057,-0.164,-0.414,-0.197
7,-0.641,-0.208,0.954,0.165,0.992,0.536,0,-0.557,0.593,0.371,0.121,0.339
8,-0.084,0.349,1.511**,0.722,1.55**,1.093*,0.557,0,1.15*,0.929,0.679,0.896
9,-1.234,-0.801,0.361,-0.428,0.4,-0.057,-0.593,-1.15*,0,-0.221,-0.471,-0.254
10,-1.013,-0.58,0.582,-0.207,0.621,0.164,-0.371,-0.929,0.221,0,-0.25,-0.033
11,-0.763,-0.33,0.832,0.043,0.871,0.414,-0.121,-0.679,0.471,0.25,0,0.217
12,-0.98,-0.547,0.615,-0.174,0.654,0.197,-0.339,-0.896,0.254,0.033,-0.217,0
