,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.337,0.402,0.063,-0.161,0.128,0.266,1.399,0.424,0.042,-0.471,0.65
2,-0.337,0,0.064,-0.274,-0.498,-0.209,-0.071,1.062,0.087,-0.295,-0.808,0.313
3,-0.402,-0.064,0,-0.339,-0.563,-0.273,-0.136,0.997,0.023,-0.36,-0.872,0.248
4,-0.063,0.274,0.339,0,-0.224,0.066,0.203,1.336,0.361,-0.021,-0.533,0.587
5,0.161,0.498,0.563,0.224,0,0.289,0.427,1.56,0.585,0.203,-0.31,0.811
6,-0.128,0.209,0.273,-0.066,-0.289,0,0.137,1.271,0.296,-0.087,-0.599,0.521
7,-0.266,0.071,0.136,-0.203,-0.427,-0.137,0,1.133,0.158,-0.224,-0.736,0.384
8,-1.399,-1.062,-0.997,-1.336,-1.56,-1.271,-1.133,0,-0.975,-1.357,-1.87,-0.749
9,-0.424,-0.087,-0.023,-0.361,-0.585,-0.296,-0.158,0.975,0,-0.382,-0.895,0.226
10,-0.042,0.295,0.36,0.021,-0.203,0.087,0.224,1.357,0.382,0,-0.513,0.608
11,0.471,0.808,0.872,0.533,0.31,0.599,0.736,1.87,0.895,0.513,0,1.12
12,-0.65,-0.313,-0.248,-0.587,-0.811,-0.521,-0.384,0.749,-0.226,-0.608,-1.12,0
